Kod,Ders,Eğitmen(ler),Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm sınırlaması,CRN,Term
FIZ 102E,Physics II,Mehmet Cem Güçlü,Perşembe,1430/1729,,85.0,95,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE EHB EHBE ELK ELKE END ENDE FIZM GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAKM MAT MATE MET METE MTO MTOE PET PETE TEK TEKE UCK UCKE UCKM UZB UZBE UZBM YZVE,10501.0,2021 - 2022 Güz Dönemi
MAT 103E,Mathematics I,Burhaneddin İzgi,Salı Çarşamba Perşembe Cuma,1400/1729 1500/1759 1500/1759 1500/1759,,87.0,95,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,30309.0,2019 - 2020 Yaz Dönemi
END 480E,Reliability Engineering,Esra Baş,Pazartesi,0830/1129,,96.0,95,END ENDE,23861.0,2020 - 2021 Bahar Dönemi
END 355E,Production Methods,Esra Baş,Pazartesi,1430/1629,,94.0,95,END ENDE,23885.0,2020 - 2021 Bahar Dönemi
MAT 103,Matematik I,Füsun Zengin,Salı Çarşamba Perşembe,0900/1259 0900/1259 0900/1329,,62.0,95,BIO CEV CHZ DEN DUI END FIZ GEM GEMM GEO GID GMI IML INS ISL JDF JEF JEO KIM KIMM KMM KMMM MAD MAK MAKM MATM MET MSF MTO PET PETM TEK UCK UCKM UZB UZBM,30304.0,2019 - 2020 Yaz Dönemi
MAT 103E,Mathematics I,Burhaneddin İzgi,Salı Çarşamba Perşembe Cuma,0900/1229 0900/1159 0900/1159 0900/1159,,95.0,95,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,30308.0,2019 - 2020 Yaz Dönemi
MAT 103E,Mathematics I,Samet Yücel Kadıoğlu,Pazartesi Salı Çarşamba,1000/1429 1000/1359 1400/1759,,95.0,95,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,30307.0,2019 - 2020 Yaz Dönemi
FIZ 101,Fizik I,Banu Tansel,Pazartesi,1430/1729,DZB,95.0,94,DUI GMI,13272.0,2019 - 2020 Güz Dönemi
MAT 271E,Probability and Statistics,Mustafa Sait Yazgan,Cuma,1500/1759,,94.0,94,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI EHB EHBE EHN ELE ELH ELK ELKE ENTE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE GMIK IML IMLE INS INSE JEF JEFE JEO JEOE KMM KMME KOM KOME KON KONE MAD MADE MAK MAKE MET METE MTO MTOE PET PETE SBP SBPE SEH TEK TEKE TEL UCK UCKE UZB UZBE,21712.0,2020 - 2021 Bahar Dönemi
MAT 210E,Engineering Mathematics,Ayşegül Tepe,Pazartesi Salı,1230/1429 1530/1729,MED MED,98.0,94,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE ECNE EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME MAD MADE MATM MET METE MTO MTOE PET PETE TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,10492.0,2019 - 2020 Güz Dönemi
MAT 210,Mühendislik Matematiği,Evren Tanrıöver,Perşembe Cuma,0830/1029 1430/1629,MED MED,103.0,94,BIO BLG CEV CHZ EHB ELE ELH ELK END FIZ GEO INS JDF JEF JEFM JEO KIM MAD MATM MET MTO PET TEK TEL UCK UCKM UZB UZBM,10463.0,2019 - 2020 Güz Dönemi
MAT 103E,Mathematics I,Gül İnan,Perşembe Perşembe,0830/1129 1230/1429,FEB FEB,95.0,94,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MIM MIME MTO MTOE PEM PEME PET PETE PETM SBP SBPE SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,25472.0,2018 - 2019 Bahar Dönemi
END 332E,Operations Research II,Yusuf İlker Topcu,Pazartesi,1330/1629,ISB,96.0,93,END ENDE,23044.0,2017 - 2018 Bahar Dönemi
MAT 104E,Mathematics II,Ali Demirci,Perşembe Perşembe,0830/1129 1230/1429,KMB MDB,93.0,93,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MTO MTOE PET PETE PETM SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20677.0,2018 - 2019 Bahar Dönemi
MAT 221,Olasılık Teorisi,Mustafa Nadar,Perşembe,1130/1429,,87.0,93,MAT,10880.0,2020 - 2021 Güz Dönemi
MAT 104E,Mathematics II,Ali Sait Demir,Perşembe Perşembe,0830/1129 1230/1429,MED MED,92.0,93,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MTO MTOE PET PETE PETM SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20676.0,2018 - 2019 Bahar Dönemi
MAT 104E,Mathematics II,Füsun Zengin,Perşembe Perşembe,0830/1129 1230/1429,MED MED,93.0,93,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MTO MTOE PET PETE PETM SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20675.0,2018 - 2019 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Evren Dağlarlı,Pazartesi Pazartesi,1430/1529 1530/1729,,92.0,92.0,ARC BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EFN EHB EHBE ELE ELH END ENDE ENTE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,20529.0,2021 - 2022 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Ömer Özyıldırım,Pazartesi Pazartesi,1430/1529 1530/1729,,92.0,92.0,ARC BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EFN EHB EHBE ELE ELH END ENDE ENTE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,20526.0,2021 - 2022 Bahar Dönemi
MAT 117,Matematik Müh. Giriş ve Etik,Sevgi Harman,Çarşamba,1330/1529,FEB,89.0,92,MAT,13540.0,2021 - 2022 Güz Dönemi
MAT 104,Matematik II,Füsun Zengin,Pazartesi Salı,1330/1529 0830/1129,EEB MDB,89.0,92,BIO BLG CEV CHZ DEN DUI END FIZ GEM GEMM GEO GID GMI IML IMLM INS ISL JDF JEF JEO KIM KMM KMMM MAD MAK MAKM MATM MET MTO PET PETM TEK UCK UCKM UZB UZBM,13380.0,2017 - 2018 Güz Dönemi
MAT 104,Matematik II,Fuat Ergezen,Pazartesi Salı,1330/1529 0830/1129,GDB GDB,91.0,92,BIO BLG CEV CHZ DEN DUI END FIZ GEM GEMM GEO GID GMI IML IMLM INS ISL JDF JEF JEO KIM KMM KMMM MAD MAK MAKM MATM MET MTO PET PETM TEK UCK UCKM UZB UZBM,13377.0,2017 - 2018 Güz Dönemi
END 421,Üretim Planlama ve Kontrol,Murat Baskak,Perşembe,0830/1129,GDB,91.0,92,END,12013.0,2019 - 2020 Güz Dönemi
END 341,İş Etüdü,Çiğdem Altın Gümüşsoy,Salı,0830/1129,FEB,88.0,92,END,13642.0,2019 - 2020 Güz Dönemi
MAT 104E,Mathematics II,İlkay Bakırtaş Akar,Perşembe Perşembe,0830/1129 1230/1429,FEB MDB,91.0,92,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MTO MTOE PET PETE PETM SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20679.0,2018 - 2019 Bahar Dönemi
MAT 104,Matematik II,Sezgin Altay Demirbağ,Pazartesi Salı,1330/1529 0830/1129,EEB MDB,93.0,92,BIO BLG CEV CHZ DEN DUI END FIZ GEM GEMM GEO GID GMI IML IMLM INS ISL JDF JEF JEO KIM KMM KMMM MAD MAK MAKM MATM MET MTO PET PETM TEK UCK UCKM UZB UZBM,13381.0,2017 - 2018 Güz Dönemi
MAT 104E,Mathematics II,Cihangir Özemir,Perşembe Perşembe,0830/1129 1230/1429,MDB MDB,92.0,92,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MTO MTOE PET PETE PETM SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,20678.0,2018 - 2019 Bahar Dönemi
MAT 104,Matematik II,Şenay Pasinlioğlu,Pazartesi Salı,1330/1529 0830/1129,UUB FEB,93.0,92,BIO BLG CEV CHZ DEN DUI END FIZ GEM GEMM GEO GID GMI IML IMLM INS ISL JDF JEF JEO KIM KMM KMMM MAD MAK MAKM MATM MET MTO PET PETM TEK UCK UCKM UZB UZBM,13382.0,2017 - 2018 Güz Dönemi
EHB 252,İşaretler ve Sistemler,Bilge Günsel Kalyoncu,Perşembe,1230/1529,,72.0,91.0,ELK KOM MKN,22603.0,2020 - 2021 Bahar Dönemi
MAT 202E,Numerical Methods,Özgür Özdemir,Salı,1230/1529,EEB,91.0,91,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELE ELH ELK ELKE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KMM KMME KOM KOME KON KONE MAD MADE MAK MAKE MET METE MTO MTOE PET PETE TEK TEKE TEL UCK UCKE UZB UZBE,22953.0,2021 - 2022 Bahar Dönemi
MAT 103,Matematik I,Ersin Özuğurlu,Perşembe Perşembe,0830/1129 1230/1429,MED MED,91.0,91,BIO CEV CHZ DEN DUI END FIZ GEM GEMM GEO GID GMI IML INS ISL JDF JEF JEO KIM KIMM KMM KMMM MAD MAK MAKM MATM MET MTO PET PETM TEK UCK UCKM UZB UZBM,20531.0,2018 - 2019 Bahar Dönemi
BLG 212E,Microprocessor Systems,Tankut Akgül,Perşembe,0830/1129,,95.0,90.0,EHB EHBE ELE ELH ELK ELKE KOM KOME UCKE,21537.0,2020 - 2021 Bahar Dönemi
BLG 252E,Object Oriented Programming,Gülşen Eryiğit,Pazartesi,0830/1129,EEB,91.0,90.0,BLG BLGE YZVE,21523.0,2021 - 2022 Bahar Dönemi
BLG 454E,Learning From Data,Islem Rekik,Pazartesi,1430/1729,,73.0,90.0,BLG BLGE ECNE,14883.0,2021 - 2022 Güz Dönemi
BLG 368E,Operations Research,Serkan Türkeli,Salı,1230/1529,,80.0,90.0,EHB EHBE ELE KOM KOME TEL,21543.0,2020 - 2021 Bahar Dönemi
BLG 335E,Analysis of Algorithms I,İlkay Öksüz,Perşembe,0830/1129,EEB,62.0,90.0,BLG BLGE YZVE,11474.0,2021 - 2022 Güz Dönemi
BLG 374E,Tech. Communic.for Comp.Eng.,Esbie van Heerden,Perşembe,1430/1629,,89.0,90.0,BLG BLGE,21563.0,2021 - 2022 Bahar Dönemi
BLG 335E,Analysis of Algorithms I,Hazım Kemal Ekenel,Salı,0830/1129,EEB,94.0,90.0,BLG BLGE,11458.0,2021 - 2022 Güz Dönemi
BLG 374E,Tech. Communic.for Comp.Eng.,Gamze Moran,Perşembe,1430/1629,,76.0,90.0,BLG BLGE,25208.0,2020 - 2021 Bahar Dönemi
BLG 448E,Project Management in Eng.,Selin Metin,Cuma,0830/1129,,79.0,90.0,BLG BLGE ELE KOM KOME TEL YZVE,25035.0,2020 - 2021 Bahar Dönemi
BLG 311E,Formal Languages and Automata,Berk Canberk,Çarşamba,0930/1229,MDB,66.0,90.0,BLG BLGE YZVE,21542.0,2021 - 2022 Bahar Dönemi
EHB 212E,Intr.to Electromagnetic Fields,Tuba Yılmaz Abdolsaheb,Çarşamba,0830/1129,,90.0,90.0,EHB EHBE ELE ELH ELK ELKE KOM KOME TEL,25199.0,2020 - 2021 Bahar Dönemi
EHB 322,Sayısal Elektronik Devreleri,Metin Yazgı,Pazartesi,1230/1529,EEB,92.0,90.0,EHB ELE ELH,23057.0,2021 - 2022 Bahar Dönemi
EHB 322E,Digital Electronic Circuits,Mustafa Altun,Perşembe,0830/1129,EEB,89.0,90.0,BLG BLGE EHB EHBE ELE ELH,23071.0,2021 - 2022 Bahar Dönemi
ISL 344E,Strategic Manage. for Engin.,Mehmet Erçek,Pazartesi,1430/1729,MED,76.0,90.0,ISL ISLE,13614.0,2021 - 2022 Güz Dönemi
ISL 363E,Human Resources Management,İdil Vedia Evcimen,Salı,0830/1129,MED,73.0,90.0,ISL ISLE,13621.0,2021 - 2022 Güz Dönemi
ISL 363E,Human Resources Management,İdil Vedia Evcimen,Pazartesi,0830/1129,INB,65.0,90.0,ISL ISLE,13620.0,2021 - 2022 Güz Dönemi
ISL 364,İşletme Hukuku,Çiçek Ersoy Kekevi,Cuma,0830/1129,MED,60.0,90.0,ISL ISLE,13622.0,2021 - 2022 Güz Dönemi
KON 405E,State Space Meth.in Contr.Syst,Fikret Çalışkan,Pazartesi,0830/1129,EEB,98.0,90.0,KOM KOME,10722.0,2021 - 2022 Güz Dönemi
ISL 433,İş Hukuku,Ulaş Baysal,Çarşamba,1330/1529,MED,70.0,90.0,ISL ISLE,13624.0,2021 - 2022 Güz Dönemi
KON 318E,Introduction to Robotics,Hakan Temeltaş,Salı,1230/1529,EEB,90.0,90.0,KOM KOME,10721.0,2021 - 2022 Güz Dönemi
KON 317E,Control Systems,Gülay Öke Günel,Pazartesi,1230/1529,EEB,89.0,90.0,BLGE EHB EHBE ELK ELKE,10720.0,2021 - 2022 Güz Dönemi
ISL 443E,Project Design and Manag.,"Hür Bersam Bolat, Nihan Yıldırım",Perşembe,1430/1829,INB,43.0,90.0,ISL ISLE,13627.0,2021 - 2022 Güz Dönemi
ISL 443E,Project Design and Manag.,"Hür Bersam Bolat, Nihan Yıldırım",Perşembe,0830/1229,INB,88.0,90.0,ISL ISLE,13626.0,2021 - 2022 Güz Dönemi
ISL 453,İşletme Müh. Tasarımı II,"Ferhan Çebi, Dilay Çelebi",Cuma,1430/1729,MED,44.0,90.0,ISL,13628.0,2021 - 2022 Güz Dönemi
ISL 353E,Marketing,Huriye Şebnem Burnaz,Pazartesi,0830/1129,,85.0,90.0,ENTE EUT EUTE ISL ISLE,22537.0,2020 - 2021 Bahar Dönemi
ISL 432E,Simulation in Operations Mng.,Tuncay Özcan,Çarşamba,0830/1129,,84.0,90.0,ISL ISLE,22552.0,2020 - 2021 Bahar Dönemi
KON 309E,Microcontroller Systems,Emre Dincel,Cuma,0830/1229,EEB,90.0,90.0,KOM KOME MKN,10710.0,2021 - 2022 Güz Dönemi
KON 309E,Microcontroller Systems,Osman Kaan Erol,Salı,0830/1229,EEB,95.0,90.0,KOM KOME MKN,10709.0,2021 - 2022 Güz Dönemi
ISL 344E,Strategic Manage. for Engin.,Mehmet Erçek,Salı,1430/1729,UUB,79.0,90.0,ISL ISLE,13615.0,2021 - 2022 Güz Dönemi
ISL 323E,Operations Research,Fuat Kosanoğlu,Perşembe,1130/1429,INB,98.0,90.0,ISL ISLE,13608.0,2021 - 2022 Güz Dönemi
ISL 234E,Management and Organization,Zeynep Erden Bayazıt,Pazartesi,1430/1729,MED,101.0,90.0,GID GIDE ISL ISLE,13605.0,2021 - 2022 Güz Dönemi
EHB 252E,Signals and Systems,Veysel Murat İstemihan Genç,Perşembe,1230/1529,,90.0,90.0,ELK ELKE KOM KOME,22607.0,2020 - 2021 Bahar Dönemi
EHB 334E,Random Signals and Noise,Mustafa Ergen,Cuma,1430/1729,,89.0,90.0,EHB EHBE TEL,23082.0,2021 - 2022 Bahar Dönemi
EHB 212E,Intr.to Electromagnetic Fields,Serkan Şimşek,Çarşamba,0830/1129,,91.0,90.0,EHB EHBE ELE ELH ELK ELKE KOM KOME TEL,25200.0,2020 - 2021 Bahar Dönemi
EHB 212E,Intr.to Electromagnetic Fields,Mehmet Nuri Akıncı,Çarşamba,0830/1129,,84.0,90.0,EHB EHBE ELE ELH ELK ELKE KOM KOME TEL,25198.0,2020 - 2021 Bahar Dönemi
EHB 212E,Intr.to Electromagnetic Fields,Özgür Özdemir,Çarşamba,0830/1129,,90.0,90.0,EHB EHBE ELE ELH ELK ELKE KOM KOME TEL,22513.0,2020 - 2021 Bahar Dönemi
EHB 252E,Signals and Systems,İsa Yıldırım,Perşembe,1230/1529,,86.0,90.0,ELK ELKE KOM KOME MKN,25137.0,2020 - 2021 Bahar Dönemi
EHB 252E,Signals and Systems,Mustafa Ergen,Perşembe,1230/1529,,88.0,90.0,ELK ELKE KOM KOME,22611.0,2020 - 2021 Bahar Dönemi
EHB 252E,Signals and Systems,Emine Ayaz,Perşembe,1230/1529,,89.0,90.0,ELK ELKE KOM KOME,22609.0,2020 - 2021 Bahar Dönemi
KON 317,Otomatik Kontrol Sistemleri,Sıddık Murat Yeşiloğlu,Cuma,0830/1129,,72.0,90.0,EHB ELE ELH ELK TEL,21471.0,2020 - 2021 Bahar Dönemi
EHB 334E,Random Signals and Noise,Mustafa Ergen,Cuma,1430/1729,,89.0,90.0,EHB EHBE TEL,22679.0,2020 - 2021 Bahar Dönemi
ISL 214E,Statistics II,Raziye Selim,Çarşamba,1130/1429,MED,59.0,90.0,ISL ISLE,22336.0,2021 - 2022 Bahar Dönemi
ISL 214E,Statistics II,Raziye Selim,Salı,1430/1729,MED,82.0,90.0,ISL ISLE,22335.0,2021 - 2022 Bahar Dönemi
ISL 244E,Macroeconomics,"İpek İlkkaracan Ajas, Derya Karakaş",Çarşamba,1130/1429,MED,52.0,90.0,ISL ISLE,22346.0,2021 - 2022 Bahar Dönemi
ISL 244E,Macroeconomics,"İpek İlkkaracan Ajas, Derya Karakaş",Salı,1430/1729,MED,66.0,90.0,ISL ISLE,22344.0,2021 - 2022 Bahar Dönemi
KON 317,Otomatik Kontrol Sistemleri,Volkan Sezer,Cuma,0830/1129,,90.0,90.0,EHB ELE ELH ELK TEL,21472.0,2020 - 2021 Bahar Dönemi
BLG 252E,Object Oriented Programming,Hatice Köse,Pazartesi,0830/1129,EEB,90.0,90.0,BLG BLGE YZVE,21524.0,2021 - 2022 Bahar Dönemi
EHB 232E,Circuit and System Analysis,Metin Hüner,Çarşamba Perşembe Cuma,1500/1729 0900/1159 0930/1129,,97.0,90.0,EHB EHBE ELE ELH ELK ELKE TEL,30102.0,2020 - 2021 Yaz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Evren Dağlarlı,Salı Salı,0930/1229 1330/1759,,19.0,90.0,BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH END ENDE ENTE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,30117.0,2020 - 2021 Yaz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Berfin Kalay,Çarşamba Çarşamba,0930/1229 1330/1759,,78.0,90.0,BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH END ENDE ENTE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,30119.0,2020 - 2021 Yaz Dönemi
BIL 112E,Intr.to Prog.Language(FORTRAN),Tolga Birkandan,Perşembe,1230/1529,,78.0,90.0,FIZ FIZE,21500.0,2021 - 2022 Bahar Dönemi
END 445E,Lean Production Systems,Ufuk Cebeci,Perşembe,1430/1729,MDB,91.0,90.0,END ENDE IML IMLE KOM KOME,12719.0,2022 - 2023 Güz Dönemi
BIL 112E,Intr.to Prog.Language(FORTRAN),Tolga Birkandan,Çarşamba,1230/1529,,40.0,90.0,FIZ FIZE,21502.0,2021 - 2022 Bahar Dönemi
END 431,Yönetim ve Organizasyon,Seçkin Polat,Salı,1430/1729,INB,91.0,90.0,END,12716.0,2022 - 2023 Güz Dönemi
BIL 110E,Intr. to Prog. Language (C),Ayşe Elvan Bayraktaroğlu,Cuma,1400/1659,,94.0,90.0,END ENDE,14699.0,2021 - 2022 Güz Dönemi
BIL 113E,Intr.to Sci& Eng.Comp.(MATLAB),Halil Bayraktar,Perşembe,1130/1429,,92.0,90.0,BIO BIOE,20549.0,2020 - 2021 Bahar Dönemi
END 431,Yönetim ve Organizasyon,Cahit Ali Bayraktar,Çarşamba,0830/1129,FEB,91.0,90.0,END,12717.0,2022 - 2023 Güz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Ömer Özyıldırım,Pazartesi Pazartesi,1430/1529 1530/1729,,89.0,90.0,BIO BIOE ENTE EUT EUTE ICM MET METE PEM PEME,20438.0,2020 - 2021 Bahar Dönemi
END 421E,Production Planning&Control,Emine Yaylalı,Salı,1430/1729,MED,91.0,90.0,END ENDE KOM KOME,12699.0,2022 - 2023 Güz Dönemi
END 421E,Production Planning&Control,Şule Itır Satoğlu,Salı,1430/1729,MED,91.0,90.0,END ENDE KOM KOME,12696.0,2022 - 2023 Güz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Ömer Özyıldırım,Pazartesi Pazartesi,0930/1229 1330/1759,,64.0,90.0,BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH END ENDE ENTE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,30114.0,2020 - 2021 Yaz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Berfin Kalay,Perşembe Perşembe,0930/1229 1330/1759,,90.0,90.0,BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH END ENDE ENTE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,30121.0,2020 - 2021 Yaz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Evren Dağlarlı,Pazartesi Pazartesi,0930/1229 1330/1759,,46.0,90.0,BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH END ENDE ENTE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,30115.0,2020 - 2021 Yaz Dönemi
